Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PP106473,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL33,29765,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-16,2024-01-11,ssRNA(+)
PP106474,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL34,29777,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-18,2024-01-11,ssRNA(+)
PP106476,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL36,29759,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-24,2024-01-11,ssRNA(+)
PP106478,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL38,29753,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-14,2024-01-11,ssRNA(+)
PP106479,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL39,29799,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-14,2024-01-11,ssRNA(+)
PP106483,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL44,29760,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-18,2024-01-11,ssRNA(+)
PP106485,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL46,29770,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-19,2024-01-11,ssRNA(+)
PP106491,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL52,29758,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-22,2024-01-11,ssRNA(+)
PP106493,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL55,29754,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-12,2024-01-11,ssRNA(+)
PP106494,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL56,29754,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-12,2024-01-11,ssRNA(+)
PP106495,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL58,29752,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-16,2024-01-11,ssRNA(+)
PP106496,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL59,29781,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-06,2024-01-11,ssRNA(+)
PP106498,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL61,29755,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-14,2024-01-11,ssRNA(+)
PP106499,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL62,29755,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-15,2024-01-11,ssRNA(+)
PP106500,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL63,29760,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-18,2024-01-11,ssRNA(+)
PP106501,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL64,29760,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-19,2024-01-11,ssRNA(+)
PP106502,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL65,29759,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-20,2024-01-11,ssRNA(+)
PP106523,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.30,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL29,29758,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-22,2024-01-11,ssRNA(+)
OR394059,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,S,29715,complete,India,Homo sapiens,oronasopharynx,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-08-04,ssRNA(+)
OR125680,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.76,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,XBB.1.16,29853,complete,India,Homo sapiens,,"Mani,S., Jakhar,K., Sonar,S., Sarkar,T., Tiwari,M., Jana,P., Das,B., Lal,B., Tripathi,A.",2022-12-20,2023-06-13,ssRNA(+)
OR129998,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_67,29866,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-06-10,2023-06-13,ssRNA(+)
OR129999,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_64,29903,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-06-03,2023-06-13,ssRNA(+)
OR130086,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_59,29896,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-05-27,2023-06-13,ssRNA(+)
OR130087,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_40,29896,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N.",2021-06-07,2023-06-13,ssRNA(+)
OR130088,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_56,29896,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-05-28,2023-06-13,ssRNA(+)
OR130090,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_54,29903,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-05-24,2023-06-13,ssRNA(+)
OR130091,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_51,29896,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-05-27,2023-06-13,ssRNA(+)
OR130138,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_58,29903,complete,India,Homo sapiens,,"Kakati,B., kUMAR,V., Singh,R., Mittal,G., Kumar,A., Kumar,V., Kaul,N., Naik,B.",2021-06-04,2023-06-13,ssRNA(+)
OR122574,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_10,29896,complete,India,Homo sapiens,,"Kakati,B., Kumar,V., Singh,R., Mittal,G., Kumar,A., Kaul,N.",2021-06-05,2023-06-12,ssRNA(+)
OR122575,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_4,29896,complete,India,Homo sapiens,,"Kakati,B., Kumar,V., Singh,R., Mittal,G., Kumar,A., Kaul,N.",2021-06-03,2023-06-12,ssRNA(+)
OR122576,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_16,29896,complete,India,Homo sapiens,,"Kakati,B., Kumar,V., Singh,R., Mittal,G., Kumar,A., Kaul,N.",2021-05-24,2023-06-12,ssRNA(+)
OR122577,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_7,29896,complete,India,Homo sapiens,,"Kakati,B., Kumar,V., Singh,R., Mittal,G., Kumar,A., Kaul,N.",2021-06-03,2023-06-12,ssRNA(+)
OR122578,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_22,29896,complete,India,Homo sapiens,,"Kakati,B., Kumar,V., Singh,R., Mittal,G., Kumar,A., Kaul,N.",2021-05-24,2023-06-12,ssRNA(+)
OR122579,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SRHU_23,29896,complete,India,Homo sapiens,,"Kakati,B., Kumar,V., Singh,R., Mittal,G., Kumar,A., Kaul,N.",2021-06-01,2023-06-12,ssRNA(+)
OR016162,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CG-VRDL-AIIMS-266,29782,complete,India,Homo sapiens,oronasopharynx,"Singh,P., Negi,S., Sharma,K., Shaw,D., Khawase,K., Kumari,A., Mishra,S., Chandrawanshi,J., Khan,R., Shivlata,L., Bhargava,A.",2022-08-27,2023-05-20,ssRNA(+)
OR016163,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CG-VRDL-AIIMS-292,29782,complete,India,Homo sapiens,oronasopharynx,"Singh,P., Negi,S., Sharma,K., Shaw,D., Khawase,K., Kumari,A., Mishra,S., Chandrawanshi,J., Khan,R., Shivlata,L., Bhargava,A.",2022-08-30,2023-05-20,ssRNA(+)
OR016164,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CG-VRDL-AIIMS-348,29782,complete,India,Homo sapiens,oronasopharynx,"Singh,P., Negi,S., Sharma,K., Shaw,D., Khawase,K., Kumari,A., Mishra,S., Chandrawanshi,J., Khan,R., Shivlata,L., Bhargava,A.",2022-09-05,2023-05-20,ssRNA(+)
OQ859931,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.18,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-527,29833,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-01-22,2023-04-22,ssRNA(+)
OQ859934,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.43,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-590,29751,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-04-22,2023-04-22,ssRNA(+)
OQ859935,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2.18,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-962,29767,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-09,2023-04-22,ssRNA(+)
OQ859937,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BR.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-1056,29765,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-06,2023-04-22,ssRNA(+)
OQ859938,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BJ.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-1072,29784,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-08,2023-04-22,ssRNA(+)
OQ859940,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BL.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-1218,29750,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-07,2023-04-22,ssRNA(+)
OQ859941,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BQ.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-1257,29767,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-22,2023-04-22,ssRNA(+)
OQ859942,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-1255,29774,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-05,2023-04-22,ssRNA(+)
OQ859944,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BL.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS-1261,29690,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-24,2023-04-22,ssRNA(+)
OQ852496,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 3,29776,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-05,2023-04-21,ssRNA(+)
OQ852497,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 12,29760,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-10,2023-04-21,ssRNA(+)
OQ852498,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 23,29776,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-14,2023-04-21,ssRNA(+)
OQ852499,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.17.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 80,29769,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-20,2023-04-21,ssRNA(+)
OQ852500,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.15,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 90,29764,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-21,2023-04-21,ssRNA(+)
OQ852501,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 139,29807,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-23,2023-04-21,ssRNA(+)
OQ852502,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.18,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 149,29789,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-24,2023-04-21,ssRNA(+)
OQ852503,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.15.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 176,29790,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-25,2023-04-21,ssRNA(+)
OQ852504,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 232,29723,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2021-12-29,2023-04-21,ssRNA(+)
OQ852505,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 276,29827,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-01-09,2023-04-21,ssRNA(+)
OQ852506,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 278,29775,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-01-09,2023-04-21,ssRNA(+)
OQ852507,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 299,29809,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-01-10,2023-04-21,ssRNA(+)
OQ852508,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 322,29758,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-01-12,2023-04-21,ssRNA(+)
OQ852509,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 436,29745,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-01-17,2023-04-21,ssRNA(+)
OQ852510,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 592,29690,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-04,2023-04-21,ssRNA(+)
OQ852511,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.12.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 594,29734,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-06,2023-04-21,ssRNA(+)
OQ852512,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.43,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 595,29717,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-06,2023-04-21,ssRNA(+)
OQ852514,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.12,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 600,29705,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-06,2023-04-21,ssRNA(+)
OQ852516,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 621,29718,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-09,2023-04-21,ssRNA(+)
OQ852517,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.38.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 627,29750,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-11,2023-04-21,ssRNA(+)
OQ852519,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 649,29757,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-14,2023-04-21,ssRNA(+)
OQ852521,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.40.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 679,29742,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-18,2023-04-21,ssRNA(+)
OQ852523,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 693,29709,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-20,2023-04-21,ssRNA(+)
OQ852524,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 719,29714,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-28,2023-04-21,ssRNA(+)
